numid;pid;vid;lid;sid;postcode_left;straat_left;woonplaatsnaam;huisnummer;huisletter;huisnummertoevoeging;oppervlakte;woningequivalent;gebruiksdoelen;pand_bouwjaar;pc6_gemiddelde_woz_waarde_woning;gemiddelde_gemeente_woz;pc6_eigendomssituatie_perc_koop;pc6_eigendomssituatie_perc_huur;pc6_eigendomssituatie_aantal_woningen_corporaties;netbeheerder;energieklasse;woning_type;sbicode;gas_ean_count;p6_grondbeslag_m2;p6_gasm3_2023;p6_gas_aansluitingen_2023;p6_kwh_2023;p6_kwh_productie_2023;point;buurtcode;buurtnaam;wijkcode;wijknaam;gemeentecode;gemeentenaam;provincienaam;provinciecode;geometry;id;stad;straat_right;huisaanduiding;postcode_right;res_regio;provincie;gemeente;buurt;wijk;gebruiksdoel;woning_status;bouwjaar;voetafdruk_oppervlakte_m2;groot_dak;rijksmonument;beschermd_stadsgezicht;gemeentelijk_monument;geschiktheid;dak_oppervlakte_m2;dak_oppervlakte_geschikt_m2;potentie_n_panelen;totale_potentie_kwh_per_jaar;resterende_potentie_kwh;sde_status_adres;zonnepanelen_aanwezig_2024;nieuwe_panelen_tov_2023;co2_ton_bespaard_per_jaar
3,612E+14;361100000105536.0;8,24637E+11;0;0;1811KX;Doelenstraat;Alkmaar;19;;;1.000.000;0;overige gebruiksfunctie;1905;0;287;0;0;0;liander;;;;0;0;0.000000;0;15.699.000.000;0.000000;POINT (4.746316453918035 52.63304266365504);BU03610800;Binnenstad-West;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.746316453918035 52.63304266365504);Zonnepanelen.361100000105536;Alkmaar;Doelenstraat;"23; 21; 19";1811KX;Noord Holland Noord;Noord-Holland;Alkmaar;Binnenstad-West;Centrum;bijeenkomstfunctie, overige gebruiksfunctie;Pand in gebruik;1905;134;Nee;Ja;Nee;Nee;Mogelijk geschikt;134;61;23;7090;0;Niet geschikt;Nee;Nee;1.3
3,612E+14;361100000038034.0;8,24637E+11;0;0;1825KA;Elgerweg;Alkmaar;17;;;98.000.000;1;woonfunctie;1983;0;287;100;0;0;liander;;;;1;2832;1.211.000.000;35;3.605.000.000;573.000.000;POINT (4.750704663063937 52.65882203819046);BU03610601;'t Rak-Noord;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.750704663063937 52.65882203819046);Zonnepanelen.361100000038034;Alkmaar;Elgerweg;17;1825KA;Noord Holland Noord;Noord-Holland;Alkmaar;'t Rak-Noord;De Mare;woonfunctie;Pand in gebruik;1983;57;Nee;Nee;Nee;Nee;Mogelijk geschikt;57;18;7;2130;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000016375.0;8,24637E+11;0;0;1823EA;Rijnstraat;Alkmaar;13;;;131.000.000;1;woonfunctie;1972;345;287;100;0;0;liander;;;;1;1305;1.125.000.000;32;4.010.000.000;679.000.000;POINT (4.765659846409754 52.63299986430966);BU03610205;Oudorperpolder-Midden;WK036102;Oudorp;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.765659846409754 52.63299986430966);Zonnepanelen.361100000016375;Alkmaar;Rijnstraat;13;1823EA;Noord Holland Noord;Noord-Holland;Alkmaar;Oudorperpolder-Midden;Oudorp;woonfunctie;Pand in gebruik;1972;54;Nee;Nee;Nee;Nee;Mogelijk geschikt;54;12;4;1340;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000009168.0;8,24648E+11;0;0;1814CH;Nieuwlandersingel;Alkmaar;6;;;75.000.000;1;woonfunctie;1901;300;287;70;30;0;liander;;;;1;1104;836.000.000;33;2.306.000.000;234.000.000;POINT (4.749524763992347 52.62709864280148);BU03610102;Staatsliedenkwartier en Landstraten;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.749524763992347 52.62709864280148);Zonnepanelen.361100000009168;Alkmaar;Nieuwlandersingel;6;1814CH;Noord Holland Noord;Noord-Holland;Alkmaar;Staatsliedenkwartier en Landstraten;Zuid;woonfunctie;Pand in gebruik;1901;59;Nee;Nee;Nee;Nee;Mogelijk geschikt;59;15;6;1780;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000011675.0;8,24649E+11;0;0;1829XM;Terrastraat;Oudorp;28;;;142.000.000;1;woonfunctie;1974;410;287;100;0;0;liander;;;;1;3258;1.364.000.000;36;2.987.000.000;1.025.000.000;POINT (4.7797359787549984 52.62977170110009);BU03610201;Oudorp-Noord en Oudorp-Oost;WK036102;Oudorp;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.7797359787549984 52.62977170110009);Zonnepanelen.361100000011675;Oudorp;Terrastraat;28;1829XM;Noord Holland Noord;Noord-Holland;Alkmaar;Oudorp-Noord en Oudorp-Oost;Oudorp;woonfunctie;Pand in gebruik;1974;71;Nee;Nee;Nee;Nee;Mogelijk geschikt;71;20;7;2310;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000034116.0;8,24649E+11;0;0;1826DE;Boeierstraat;Alkmaar;4;;;119.000.000;1;woonfunctie;1979;218;287;80;0;0;liander;C;Rijwoning tussen;;1;1850;1.206.000.000;27;2.823.000.000;224.000.000;POINT (4.761358170931197 52.65256184350852);BU03610603;De Horn-Zuid;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.761358170931197 52.65256184350852);Zonnepanelen.361100000034116;Alkmaar;Boeierstraat;4;1826DE;Noord Holland Noord;Noord-Holland;Alkmaar;De Horn-Zuid;De Mare;woonfunctie;Pand in gebruik;1979;56;Nee;Nee;Nee;Nee;Mogelijk geschikt;56;13;5;1540;0;Niet geschikt;Nee;Nee;0.3
4,582E+14;458100000002208.0;8,24649E+11;0;0;1842GW;Dorpsstraat;Oterleek;48;;;244.000.000;1;woonfunctie;2003;375;287;50;50;10;liander;;;;1;3078;1.105.000.000;48;3.997.000.000;526.000.000;POINT (4.833373917310154 52.63564919705986);BU03610900;Oterleek;WK036109;Schermer;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.833373917310154 52.63564919705986);Zonnepanelen.458100000002208;Oterleek;Dorpsstraat;48;1842GW;Noord Holland Noord;Noord-Holland;Alkmaar;Oterleek;Schermer;woonfunctie;Pand in gebruik;2003;190;Nee;Nee;Nee;Nee;Mogelijk geschikt;190;22;8;5570;2570;Niet geschikt;Ja;Nee;1.0
3,612E+14;361100000046033.0;8,2465E+11;0;0;1827RR;Falstaffstraat;Alkmaar;22;;;104.000.000;1;woonfunctie;1991;312;287;100;0;0;liander;;;;1;2161;763.000.000;24;3.396.000.000;388.000.000;POINT (4.772995099519104 52.67084944597842);BU03610704;Daalmeer-Noordoost;WK036107;Daalmeer/Koedijk;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.772995099519104 52.67084944597842);Zonnepanelen.361100000046033;Alkmaar;Falstaffstraat;22;1827RR;Noord Holland Noord;Noord-Holland;Alkmaar;Daalmeer-Noordoost;Daalmeer/Koedijk;woonfunctie;Pand in gebruik;1991;55;Nee;Nee;Nee;Nee;Mogelijk geschikt;55;14;5;1640;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000009897.0;8,24651E+11;0;0;1811CC;Oudegracht;Alkmaar;103;;;150.000.000;1;woonfunctie;1979;321;287;70;20;0;liander;;;;1;6415;1.690.000.000;52;2.729.000.000;42.000.000;POINT (4.7507010689180005 52.627797678627466);BU03610801;Binnenstad-Oost;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.7507010689180005 52.627797678627466);Zonnepanelen.361100000009897;Alkmaar;Oudegracht;103;1811CC;Noord Holland Noord;Noord-Holland;Alkmaar;Binnenstad-Oost;Centrum;woonfunctie;Pand in gebruik;1979;89;Nee;Nee;Nee;Nee;Mogelijk geschikt;89;15;5;1710;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000012172.0;8,24652E+11;0;0;1829BD;Kasteellaan;Oudorp;3;;;189.000.000;1;woonfunctie;1974;0;287;100;0;0;liander;C;Twee-onder-een-kap / rijwoning hoek;;1;4227;1.633.000.000;29;2.867.000.000;1.087.000.000;POINT (4.770324888562806 52.62986732605521);BU03610202;Oudorp-Centrum;WK036102;Oudorp;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.770324888562806 52.62986732605521);Zonnepanelen.361100000012172;Oudorp;Kasteellaan;3;1829BD;Noord Holland Noord;Noord-Holland;Alkmaar;Oudorp-Centrum;Oudorp;woonfunctie;Pand in gebruik;1974;115;Nee;Nee;Nee;Nee;Mogelijk geschikt;115;22;8;6840;2520;Niet geschikt;Ja;Nee;1.3
