numid;pid;vid;lid;sid;postcode;straat;woonplaatsnaam;huisnummer;huisletter;huisnummertoevoeging;oppervlakte;woningequivalent;gebruiksdoelen;pand_bouwjaar;pc6_gemiddelde_woz_waarde_woning;gemiddelde_gemeente_woz;pc6_eigendomssituatie_perc_koop;pc6_eigendomssituatie_perc_huur;pc6_eigendomssituatie_aantal_woningen_corporaties;netbeheerder;energieklasse;woning_type;sbicode;gas_ean_count;p6_grondbeslag_m2;p6_gasm3_2023;p6_gas_aansluitingen_2023;p6_kwh_2023;p6_kwh_productie_2023;point;buurtcode;buurtnaam;wijkcode;wijknaam;gemeentecode;gemeentenaam;provincienaam;provinciecode
3,652E+14;0365100000004339;8,24635E+11;0;0;1487ME;Groenedijk;Oost-Graftdijk;6;;551;78.000.000;1;logiesfunctie;2005;135;287;100;0;0;liander;;;;0;0;0.000000;0;2.687.000.000;3.000.000;POINT (4.810510284914175 52.5508690495687);BU03611004;Oost-Graftdijk;WK036110;Graft-De Rijp;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000125941;8,24635E+11;0;0;1813XS;Hooftstraat;Alkmaar;72;;;85.000.000;1;woonfunctie;2015;351;287;0;0;0;liander;A;Flatwoning (overig);;0;0;0.000000;0;1.602.000.000;0.000000;POINT (4.755955949327461 52.62483854445001);BU03610300;Oud-Overdie;WK036103;Overdie;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000124913;8,24635E+11;0;0;1814DE;Van Houtenkade;Alkmaar;3;E;006;30.000.000;1;woonfunctie;1935;123;287;0;100;0;liander;;;;0;0;0.000000;0;2.170.000.000;0.000000;POINT (4.741202321774902 52.62487976979709);BU03610104;Emmakwartier;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000104981;8,24634E+11;0;0;1811MG;Kooltuin;Alkmaar;2;;;148.000.000;1;woonfunctie;1980;293;287;60;40;0;liander;;;;1;3014;1.117.000.000;57;1.802.000.000;25.000.000;POINT (4.752676787349159 52.631904468022405);BU03610801;Binnenstad-Oost;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000101308;8,24634E+11;0;0;1823EB;Rijnstraat;Alkmaar;53;;;86.000.000;1;woonfunctie;1972;172;287;0;0;0;liander;A++;Appartement;;0;0;0.000000;0;1.883.000.000;845.000.000;POINT (4.764306608550646 52.63176425740014);BU03610204;Oudorperpolder-Zuid;WK036102;Oudorp;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000044585;8,24636E+11;0;0;1827AH;De Kempenstraat;Alkmaar;53;;;94.000.000;1;woonfunctie;1982;259;287;100;0;0;liander;;;;1;2378;877.000.000;37;2.927.000.000;587.000.000;POINT (4.761206398087447 52.669208624546165);BU03610701;Daalmeer-Zuidwest;WK036107;Daalmeer/Koedijk;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000006429;8,24637E+11;0;0;1814CC;Dr.Schaepmanplein;Alkmaar;3;;;124.000.000;1;woonfunctie;1933;372;287;90;0;0;liander;;;;1;1795;1.258.000.000;42;2.449.000.000;451.000.000;POINT (4.747839833892167 52.62466358705669);BU03610102;Staatsliedenkwartier en Landstraten;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000100512;8,24637E+11;0;0;1815LA;Kennemerstraatweg;Alkmaar;2;Z;;129.000.000;1;woonfunctie;1999;441;287;70;30;0;liander;A;Maisonnette;;1;9452;2.112.000.000;81;4.929.000.000;0.000000;POINT (4.738458342846855 52.626742860292765);BU03610105;Nassaukwartier en Hout;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000105536;8,24637E+11;0;0;1811KX;Doelenstraat;Alkmaar;19;;;1.000.000;0;overige gebruiksfunctie;1905;0;287;0;0;0;liander;;;;0;0;0.000000;0;15.699.000.000;0.000000;POINT (4.746316453918035 52.63304266365504);BU03610800;Binnenstad-West;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27
3,612E+14;0361100000012895;8,24637E+11;0;0;1816NL;Cornelis Pronklaan;Alkmaar;135;;;44.000.000;1;woonfunctie;1966;145;287;0;0;0;liander;E;Appartement;;1;705;733.000.000;39;1.400.000.000;0.000000;POINT (4.72069944761125 52.63002757378797);BU03610400;De Hoef III en IV;WK036104;West;GM0361;Alkmaar;Noord-Holland;PV27
